Optimal HV: 17035431968
Iteration 404: HV = 8313968904.67, HVR = 0.49
Iteration 405: HV = 8345074661.16, HVR = 0.49
Iteration 406: HV = 8394272622.66, HVR = 0.49
Iteration 407: HV = 8394272622.66, HVR = 0.49
Iteration 408: HV = 8394272622.66, HVR = 0.49
Iteration 409: HV = 8394272622.66, HVR = 0.49
Iteration 410: HV = 8394272622.66, HVR = 0.49
Iteration 411: HV = 8425188719.47, HVR = 0.49
Iteration 412: HV = 8425188719.47, HVR = 0.49
Iteration 413: HV = 8425188719.47, HVR = 0.49
Iteration 414: HV = 8425188719.47, HVR = 0.49
Iteration 415: HV = 8425188719.47, HVR = 0.49
Iteration 416: HV = 8425188719.47, HVR = 0.49
Iteration 417: HV = 8425188719.47, HVR = 0.49
Iteration 418: HV = 8563594092.49, HVR = 0.50
Iteration 419: HV = 8595463325.05, HVR = 0.50
Iteration 420: HV = 8595463325.05, HVR = 0.50
Iteration 421: HV = 8585685690.09, HVR = 0.50
Iteration 422: HV = 8585685690.09, HVR = 0.50
Iteration 423: HV = 8585685690.09, HVR = 0.50
Iteration 424: HV = 8585685690.09, HVR = 0.50
Iteration 425: HV = 8594733683.32, HVR = 0.50
Iteration 426: HV = 8564855744.33, HVR = 0.50
Iteration 427: HV = 8583857234.70, HVR = 0.50
Iteration 428: HV = 8583857234.70, HVR = 0.50
Iteration 429: HV = 8583857234.70, HVR = 0.50
Iteration 430: HV = 8583857234.70, HVR = 0.50
Iteration 431: HV = 8583857234.70, HVR = 0.50
Iteration 432: HV = 8583857234.70, HVR = 0.50
Iteration 433: HV = 8583857234.70, HVR = 0.50
Iteration 434: HV = 8579810020.07, HVR = 0.50
Iteration 435: HV = 8579810020.07, HVR = 0.50
Iteration 436: HV = 8579810020.07, HVR = 0.50
Iteration 437: HV = 8579810020.07, HVR = 0.50
Iteration 438: HV = 8579810020.07, HVR = 0.50
Iteration 439: HV = 8572471413.35, HVR = 0.50
Iteration 440: HV = 8572471413.35, HVR = 0.50
Iteration 441: HV = 8571934151.51, HVR = 0.50
Iteration 442: HV = 8598128856.51, HVR = 0.50
Iteration 443: HV = 8604156062.38, HVR = 0.51
Iteration 444: HV = 8579821188.41, HVR = 0.50
Iteration 445: HV = 8606429855.95, HVR = 0.51
Iteration 446: HV = 8623360370.31, HVR = 0.51
Iteration 447: HV = 8623360370.31, HVR = 0.51
Iteration 448: HV = 8623360370.31, HVR = 0.51
Iteration 449: HV = 8623360370.31, HVR = 0.51
Iteration 450: HV = 8623360370.31, HVR = 0.51
Iteration 451: HV = 8610013257.25, HVR = 0.51
Iteration 452: HV = 8610013257.25, HVR = 0.51
Iteration 453: HV = 8610013257.25, HVR = 0.51
Iteration 454: HV = 8547193603.67, HVR = 0.50
Iteration 455: HV = 8644677342.85, HVR = 0.51
Iteration 456: HV = 8644677342.85, HVR = 0.51
Iteration 457: HV = 8756368944.93, HVR = 0.51
Iteration 458: HV = 8756368944.93, HVR = 0.51
Iteration 459: HV = 8801965060.69, HVR = 0.52
Iteration 460: HV = 8801965060.69, HVR = 0.52
Iteration 461: HV = 8831997491.17, HVR = 0.52
Iteration 462: HV = 8831997491.17, HVR = 0.52
Iteration 463: HV = 8831997491.17, HVR = 0.52
Iteration 464: HV = 8831997491.17, HVR = 0.52
Iteration 465: HV = 8831997491.17, HVR = 0.52
Iteration 466: HV = 8831997491.17, HVR = 0.52
Iteration 467: HV = 8787400425.46, HVR = 0.52
Iteration 468: HV = 8787400425.46, HVR = 0.52
Iteration 469: HV = 8787400425.46, HVR = 0.52
Iteration 470: HV = 8787400425.46, HVR = 0.52
Iteration 471: HV = 8809699579.67, HVR = 0.52
Iteration 472: HV = 8809699579.67, HVR = 0.52
Iteration 473: HV = 8809699579.67, HVR = 0.52
Iteration 474: HV = 8809699579.67, HVR = 0.52
Iteration 475: HV = 8809699579.67, HVR = 0.52
Iteration 476: HV = 8657921637.06, HVR = 0.51
Iteration 477: HV = 8657921637.06, HVR = 0.51
